bestFor,imageURL,name,appLink,description,reqCreditScore
rewards,https://www.nerdwallet.com/c1/images/7012_L.jpg,US Bank Cash+™ Visa Signature® Credit Card,https://www.nerdwallet.com/redirect/credit-cards/7012?clickHeader_category=Credit%20Card&clickHeader_productId=7012&name=US-Bank-Cash-Rewards-Visa-Platinum&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=10&section_name=&section_position=&header_pageViewId=,"ProsA rotating category card with a twist: You pick your bonus categories. You earn 5% cash back in two categories you choose, on up to $2,000 per quarter in combined spending (then 1%); unlimited 2% cash back in an ""everyday"" category of your choice; and 1% on all other spending. There's a good sign-up bonus, and the annual fee is $0*.ConsRotating category cards involve work, and this one adds an extra layer of effort because you have to pick your categories each quarter. Forget to do so, and you'll earn only 1%. Further, the 5% categories tend to be more specialized than on comparable cards, so you might have trouble maxing out bonus rewards.  ",690
rewards,https://www.nerdwallet.com/c1/images/11720_b3a49bad1c14a0c5b6107c8bacf31d33_L.jpg,Capital One QuicksilverOne Credit Card,https://www.nerdwallet.com/redirect/credit-cards/11720?clickHeader_category=Credit%20Card&clickHeader_productId=11720&name=Capital-One-Cash-Credit-Card-Rewards-Average-Credit&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=11&section_name=&section_position=&header_pageViewId=,"ProsThe flat 1.5% cash back rate is pretty great, especially for people without perfect credit, and there’s no limit on the rewards you can earn. The rate is the same as that paid out by multiple cards for people with good or excellent credit. (Those cards usually have no annual fee, however.) There are no foreign transaction fees, and Capital One may bump your credit limit up if you make your first five monthly payments on time.ConsThe annual fee of $39 isn’t very high, but it will still cost you something to have this card. The ongoing APR is high, so you should plan on paying your balance in full each month; otherwise, interest will wipe out your rewards.",630
rewards,https://www.nerdwallet.com/c1/images/6054_a5f68921e18478f2040db6fd542a842d_L.jpg,Discover it® Secured,https://www.nerdwallet.com/redirect/credit-cards/6054?clickHeader_category=Credit%20Card&clickHeader_productId=6054&name=discover-it-secured&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=12&section_name=&section_position=&header_pageViewId=,"ProsRewards probably aren't top of mind (nor should they be) when you're building credit, but this card makes a great offer: 2% cash back on up to $1,000 worth of spending per quarter on restaurants and gas, and 1% on all other spending. Handle your account responsibly, and you might be able to move up to an unsecured card: Discover begins reviewing your account for a possible upgrade after eight months.ConsLike all secured cards, this card requires a security deposit, which will determine your credit line. The minimum is $200 — and with a credit line that low, the cash back you get will be minimal. There's a $2,500 maximum deposit, though, which allows for greater rewards. ",300
rewards,https://www.nerdwallet.com/c1/images/3049_184f2e1de21af12d9683df1ca2b706b5_L.jpg,Chase United Airlines Mileage Plus Credit Card,https://www.nerdwallet.com/redirect/credit-cards/3049?clickHeader_category=Credit%20Card&clickHeader_productId=3049&name=Chase-United-Airlines-Mileage-Plus&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=13&section_name=&section_position=&header_pageViewId=,"ProsEarn 2 miles per dollar on United purchases, at restaurants and on hotel stays purchased directly from the hotel. Other spending earns 1 mile per dollar. You get a free checked bag for you and a companion, priority boarding, two one-time lounge passes each year and reimbursement for the application fee for TSA Precheck or Global Entry. Start with a solid sign-up bonus, too. ConsAs with any airline card with an annual fee, it's a good deal only if you fly the airline enough to use the perks you're paying for. ",690
rewards,https://www.nerdwallet.com/c1/images/65537_6c3ef63fbe78f2eda9a18b3b22402011_L.jpg,The World Of Hyatt Credit Card,https://www.nerdwallet.com/redirect/credit-cards/65537?clickHeader_category=Credit%20Card&clickHeader_productId=65537&name=Chase-World-Of-Hyatt&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=14&section_name=&section_position=&header_pageViewId=,"ProsYou earn 4 points per dollar spent with Hyatt, 2 points per dollar on an array of common spending categories (see the product details tab), and  1 point per dollar on other spending. Hyatt points are also worth significantly more than most other hotel points. You get a free night each anniversary year and can earn another with $15,000 a year in spending. There's a decent sign-up bonus, automatic elite status and more. ConsHyatt's relatively small footprint — about 850 properties compared with 5,000 or more for other chains — means you won't have as many locations to choose from as you'd get with other hotel cards. ",690
rewards,https://www.nerdwallet.com/c1/images/3065_5dc9886d1cc79eb71b4d849667800e9b_L.jpg,Chase Ink Business Preferred Credit Card,https://www.nerdwallet.com/redirect/credit-cards/3065?clickHeader_category=Credit%20Card&clickHeader_productId=3065&name=Chase-Ink-Business-Preferred&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=15&section_name=&section_position=&header_pageViewId=,"ProsThe sign-up bonus is worth $1,000 if you redeem the points for travel booked through Chase. (You can also transfer points to a dozen or so airline and hotel programs, including United, Southwest, Marriott and Hyatt.) You'll earn 3 points per dollar on up to $150,000 a year in spending on travel, telecommunications (internet, phone and cable), shipping, and advertising on social media and search engines; all other spending earns 1 point per dollar.ConsThis card's bonus categories aren't a good fit for all business owners. There's an annual fee of $95. After the first year, you’d have to spend at least $2,534 before the rewards make up for the annual fee. This might not matter as much to you, though, if you deduct the fee as a business expense on your taxes.",690
rewards,https://www.nerdwallet.com/c1/images/11805_8a87a3f51de27f0ea43cb2852101e351_L.jpg,Capital One Spark Cash Credit Card,https://www.nerdwallet.com/redirect/credit-cards/11805?clickHeader_category=Credit%20Card&clickHeader_productId=11805&name=Capital-One-Spark-Cash&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=16&section_name=&section_position=&header_pageViewId=,"ProsIf your business expenses don't fall neatly into the bonus categories on other cards, a flat-rate cash back card is perfect for you, especially one that pays a generous 2% cash back on everything. This card also comes with a handsome sign-up bonus.ConsThere's an annual fee of $0 intro for the first year, then $95. After the first year, you’ll need to put $4,750 on the card annually to break even. If you plan to spend less, consider a no-annual-fee card instead.",690
travel,https://www.nerdwallet.com/c1/images/11712_ed9078a0b9f95ede9208dec8cdf2beaf_L.jpg,Capital One Venture Rewards Credit Card,https://www.nerdwallet.com/redirect/credit-cards/11712?clickHeader_category=Credit%20Card&clickHeader_productId=11712&name=Capital-One-Venture-Rewards&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=0&section_name=&section_position=&header_pageViewId=,"ProsThis card earns unlimited 2 miles per dollar spent on everything. Miles can be redeemed for any travel expense. You're not limited to any single airline or hotel chain, and there are no blackout dates or restrictions on your travel. There's a great sign-up bonus, and the card also reimburses the application fee for TSA Precheck or Global Entry.  ConsYou won't get the perks of a dedicated airline or hotel card, like free checked bags or upgrades. You can transfer miles to several airline loyalty programs, but domestic options are scant. ",690
travel,https://www.nerdwallet.com/c1/images/3098_b4b01e55e0794280d11e27acbcc5d2b2_L.jpg,Chase Sapphire Preferred Credit Card,https://www.nerdwallet.com/redirect/credit-cards/3098?clickHeader_category=Credit%20Card&clickHeader_productId=3098&name=Chase-Sapphire-Preferred&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=,"ProsYou earn 2 points per dollar spent on dining and travel and 1 point per dollar on everything else. Points are worth 25% more — 1.25 cents apiece — when you redeem them for travel booked through Chase, or you can transfer them to a dozen airline and hotel programs. (Ultimate Rewards® points transferred to this card from other Chase cards can be used the same way.) You start off with a great sign-up bonus, too.  ConsSince this is a general-purpose travel card, it doesn't come with the kinds of perks that are standard on branded airline and hotel cards in the same price range. ",690
travel,https://www.nerdwallet.com/c1/images/3094_97d980cb8330dc02403891f0fe2e522b_L.jpg,Chase Chase Sapphire Reserve Credit Card,https://www.nerdwallet.com/redirect/credit-cards/3094?clickHeader_category=Credit%20Card&clickHeader_productId=3094&name=Chase-Sapphire-Reserve&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=2&section_name=&section_position=&header_pageViewId=,"ProsYou get 3 points per dollar spent on travel and dining and 1 point per dollar on all other spending. Points are worth 1.5 cents apiece when redeemed for travel booked through Chase, or you can transfer them to a dozen hotel and airline partners. You get $300 a year in credit for travel expenses, Priority Pass airport lounge access and reimbursement for the application fee for TSA PreCheck or Global Entry. And don't forget the big sign-up bonus.ConsThe fee is a significant out-of-pocket expense, and much of the value of the card is tied up in the $300 travel credit. Get this card only if you are a dedicated traveler. ",720
travel,https://www.nerdwallet.com/c1/images/8012_8aba2839fc3757d5c3149dc675cfbe63_L.jpg,Wells Fargo Propel American Express® Credit Card,https://www.nerdwallet.com/redirect/credit-cards/8012?clickHeader_category=Credit%20Card&clickHeader_productId=8012&name=Wells-Fargo-Propel-American-Express&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=3&section_name=&section_position=&header_pageViewId=,"ProsYou earn 3 points per dollar spent in a wide array of categories, including (but not limited to) restaurants, travel, transit, gas stations, rideshares and streaming media. Other spending earns 1 point per dollar. Throw in the sign-up bonus and the 0% introductory APR period, and it's a $0-annual-fee travel card like no other. ConsYou don't have the option to transfer points to airline or hotel partners. As an American Express card, its acceptance is more limited, especially internationally. Travel with a backup card if headed abroad.  ",690
travel,https://www.nerdwallet.com/c1/images/2615_9ff10663a49ddf36369131d9b605f8a2_L.jpg,Bank of America Travel Rewards® Credit Card,https://www.nerdwallet.com/redirect/credit-cards/2615?clickHeader_category=Credit%20Card&clickHeader_productId=2615&name=BankAmericard-Travel-Rewards&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=4&section_name=&section_position=&header_pageViewId=,"ProsGet 1.5 points per dollar spent on all purchases (and 3 points per dollar at the Bank of America® Travel Center). Redeem points at a value of 1 cent apiece for any travel expense — flights on any airline, stays at any hotel, with no exclusions or blackout dates. There's a sign-up bonus and even a 0% intro APR period.ConsThe sign-up bonus is fairly modest. Bigger spenders can earn greater rewards with other travel credit cards, even with an annual fee. ",690
travel,https://www.nerdwallet.com/c1/images/65452_062b2c24ec19f2d3a75f23af3abc21f7_L.jpg,Bank of America&reg; Premium Rewards&reg; Credit Card,https://www.nerdwallet.com/redirect/credit-cards/65452?clickHeader_category=Credit%20Card&clickHeader_productId=65452&name=Bank-of-America-Premium-Rewards&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=5&section_name=&section_position=&header_pageViewId=,"ProsOffering 2 points per dollar spent on travel and dining and 1.5 points per dollar elsewhere, this is a good option for any traveler. But cardholders with a lot of money in Bank of America® and Merrill accounts can earn 25% to 75% more rewards. Points are worth the same whether redeemed for travel or cash back. You also get a $100 annual credit for airline fees, reimbursement for the application fee for Global Entry or TSA Precheck, and a great sign-up bonus.ConsTo earn the highest rewards rate, you need to have a combined balance of at least $100,000 at Bank of America® and Merrill. (At that level, you earn 3.5% on travel and dining purchases and 2.625% on everything else.) ",690
travel,https://www.nerdwallet.com/c1/images/1003_97484acf0fa079565f482171a14ebd72_L.jpg,American Express Platinum Credit Card,https://www.nerdwallet.com/redirect/credit-cards/1003?clickHeader_category=Credit%20Card&clickHeader_productId=1003&name=American-Express-Platinum&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=6&section_name=&section_position=&header_pageViewId=,"ProsThis is a high-end card designed for high-end travelers. The rewards are decent: 5 points per dollar on airfare and hotels when booked the right way (terms apply) and 1 point per dollar elsewhere. But the real value lies in the perks. There’s an annual credit of $200 for airline fees and up to $200 a year in Uber credit. You’ll be reimbursed for the application fee for Global Entry or TSA PreCheck every five years. You have access to more than 1,200 airport lounges worldwide. You get exclusive perks at hotels, concierge service to help wherever you are, and access to restricted events. And don’t forget the big offer for new cardholders.ConsThe $550 annual fee is about as high as it gets for a mainstream card. If you don’t spend a lot on travel, the rewards are poor. And while this card is geared to world travelers, American Express isn’t as widely accepted globally as Visa and Mastercard.",690
travel,https://www.nerdwallet.com/c1/images/1017_3d968eff2a7940c38d2414a649525f6d_L.jpg,American Express Premier Rewards Gold Credit Card,https://www.nerdwallet.com/redirect/credit-cards/1017?clickHeader_category=Credit%20Card&clickHeader_productId=1017&name=American-Express-Premier-Rewards-Gold&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=7&section_name=&section_position=&header_pageViewId=,"ProsEarn 4X points at restaurants worldwide; 4X points on up to $25,000 a year in spending at U.S. supermarkets; 3X on airfare booked directly with airlines or on amextravel.com; and 1X on all other spending. There's an airline fee credit, dining credits and a nice welcome offer, and your points are transferable to airlines and hotels.  Terms apply. ConsThe $250 annual fee is steep for cards in its class. The travel credit is limited to airline incidentals, rather than any travel expense, and the dining credits are somewhat complicated. ",690
